title,pub_date,company,drug,link
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2022-10-07,"Bluebird Bio, Inc.",Skysona (Elivaldogene Autotemcel),https://www.federalregister.gov/api/v1/documents/2022-21851?publication_date=2022-10-07
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2022-10-07,Albireo Ab,,https://www.federalregister.gov/api/v1/documents/2022-21865?publication_date=2022-10-07
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2022-09-06,"Biomarin Pharmaceutical, Inc.",,https://www.federalregister.gov/api/v1/documents/2022-19155?publication_date=2022-09-06
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2022-08-29,"Bluebird Bio, Inc.",Zynteglo (Betibeglogene Autotemcel),https://www.federalregister.gov/api/v1/documents/2022-18519?publication_date=2022-08-29
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2022-09-07,"Marinus Pharmaceuticals, Inc.",Ztalmy (Ganaxolone),https://www.federalregister.gov/api/v1/documents/2022-19276?publication_date=2022-09-07
Issuance of Priority Review Voucher; Material Threat Medical Countermeasure Product,2022-05-02,"Regeneron Pharmaceuticals, Inc.","Inmazeb (Atoltivimab, Maftivimab, And Odesivimab-Ebgn)",https://www.federalregister.gov/api/v1/documents/2022-09315?publication_date=2022-05-02
Issuance of Priority Review Voucher; Material Threat Medical Countermeasure Product,2022-04-29,"Gilead Sciences, Inc.",Veklury (Remdesivir),https://www.federalregister.gov/api/v1/documents/2022-09233?publication_date=2022-04-29
Issuance of Priority Review Voucher; Material Threat Medical Countermeasure Product,2022-02-17,,,https://www.federalregister.gov/api/v1/documents/2022-03420?publication_date=2022-02-17
Issuance of Priority Review Voucher; Material Threat Medical Countermeasure Product,2022-02-17,,,https://www.federalregister.gov/api/v1/documents/2022-03426?publication_date=2022-02-17
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2021-10-27,"Enzyvant Therapeutics, Gmbh",Rethymic (Allogeneic Processed Thymus Tissue-Agdc),https://www.federalregister.gov/api/v1/documents/2021-23336?publication_date=2021-10-27
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2021-09-30,"Enzyvant Therapeutics, Gmbh",Rethymic (Allogeneic Processed Thymus Tissue-Agdc),https://www.federalregister.gov/api/v1/documents/2021-21311?publication_date=2021-09-30
Issuance of Priority Review Voucher; Rare Pediatric Disease Product; Withdrawal,2021-10-06,,,https://www.federalregister.gov/api/v1/documents/2021-21823?publication_date=2021-10-06
Issuance of Priority Review Voucher; Material Threat Medical Countermeasure Product,2021-07-13,"Stratatech, A Mallinckrodt Company",Stratagraft (Allogeneic Cultured Keratinocytes And Dermal Fibroblasts In Murine Collagen--Dsat),https://www.federalregister.gov/api/v1/documents/2021-14779?publication_date=2021-07-13
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2021-07-02,"Prometic Bioproduction, Inc.","Ryplazim (Plasminogen, Human-Tvmh)",https://www.federalregister.gov/api/v1/documents/2021-14191?publication_date=2021-07-02
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2021-03-12,"Origin Biosciences, Inc.",Nulibry (Fosdenopterin),https://www.federalregister.gov/api/v1/documents/2021-05207?publication_date=2021-03-12
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2021-03-12,Sarepta Therapeutics Inc.,Amondys 45 (Casimersen),https://www.federalregister.gov/api/v1/documents/2021-05208?publication_date=2021-03-12
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2021-02-16,Alnylam Pharmaceuticals Inc.,Oxlumo (Lumasiran) Injection,https://www.federalregister.gov/api/v1/documents/2021-03012?publication_date=2021-02-16
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2020-12-17,"Eiger Biopharmaceuticals, Inc.",Zokinvy (Lonafarnib),https://www.federalregister.gov/api/v1/documents/2020-27778?publication_date=2020-12-17
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2020-12-17,"Rhythm Pharmaceuticals, Inc.",Imcivree (Setmelanotide) Injection,https://www.federalregister.gov/api/v1/documents/2020-27760?publication_date=2020-12-17
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2020-12-07,,,https://www.federalregister.gov/api/v1/documents/2020-26801?publication_date=2020-12-07
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2020-09-16,"Astrazeneca Pharmaceuticals, Lp","Koselugo (Selumetinib, Azd6244)",https://www.federalregister.gov/api/v1/documents/2020-20387?publication_date=2020-09-16
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2020-09-15,"Vertex Pharmaceutical, Inc.",Trikafta (Elexacaftor/Tezacaftor/Ivacaftor),https://www.federalregister.gov/api/v1/documents/2020-20320?publication_date=2020-09-15
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2020-09-04,"Nippon Shinyaku Co., Ltd. (Ns Pharma Inc., U.S. Agent)",,https://www.federalregister.gov/api/v1/documents/2020-19604?publication_date=2020-09-04
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2020-08-25,Genentech Inc.,Evrysdi (Risdiplam),https://www.federalregister.gov/api/v1/documents/2020-18648?publication_date=2020-08-25
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2020-01-23,"Sarepta Therapeutics, Inc.",Vyondys 53 (Golodirsen),https://www.federalregister.gov/api/v1/documents/2020-01059?publication_date=2020-01-23
Issuance of Priority Review Voucher; Material Threat Medical Countermeasure Product,2019-10-09,Bavarian Nordic A/S,"Jynneos, (Smallpox And Monkeypox Vaccine, Live, Non-Replicating)",https://www.federalregister.gov/api/v1/documents/2019-21984?publication_date=2019-10-09
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2019-07-01,Alexion Pharmaceuticals Inc.,Kanuma (Sebelipase Alfa),https://www.federalregister.gov/api/v1/documents/2019-13944?publication_date=2019-07-01
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2019-06-24,"Avexis, Inc.",Zolgensma (Onasemnogene Abeparvovec-Xioi),https://www.federalregister.gov/api/v1/documents/2019-13356?publication_date=2019-06-24
Issuance of Priority Review Voucher; Material Threat Medical Countermeasure Product,2019-04-01,"Siga Technologies, Inc.",,https://www.federalregister.gov/api/v1/documents/2019-06145?publication_date=2019-04-01
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2019-03-29,"Vertex Pharmaceutical, Inc.",Symdeko (Tezacaftor/Ivacaftor),https://www.federalregister.gov/api/v1/documents/2019-06138?publication_date=2019-03-29
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2018-12-13,Novimmune S.A.,Gamifant (Emapalumab-Lzsg) Injection,https://www.federalregister.gov/api/v1/documents/2018-27043?publication_date=2018-12-13
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2018-10-25,Leadiant Bioscience Inc.,Revcovi (Elapegademase-Lvlr) Injection,https://www.federalregister.gov/api/v1/documents/2018-23308?publication_date=2018-10-25
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2018-08-15,"Ultragenyx Pharmaceutical, Inc.",Crysvita (Burosamab-Twza),https://www.federalregister.gov/api/v1/documents/2018-17527?publication_date=2018-08-15
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2018-07-19,Gw Research Ltd.,,https://www.federalregister.gov/api/v1/documents/2018-15393?publication_date=2018-07-19
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2018-01-02,"Spark Therapeutics, Inc.",Luxturna (Voretigene Neparvovec),https://www.federalregister.gov/api/v1/documents/2017-28256?publication_date=2018-01-02
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2017-12-15,"Ultragenyx Pharmaceutical, Inc.",Mepsevii (Vestronidase Alfa-Vjbk),https://www.federalregister.gov/api/v1/documents/2017-27049?publication_date=2017-12-15
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2017-09-11,Novartis Pharmaceuticals Corporation,Kymriah (Tisagenlecleucel),https://www.federalregister.gov/api/v1/documents/2017-19130?publication_date=2017-09-11
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2017-06-26,Biomarin Pharmaceuticals Inc.,,https://www.federalregister.gov/api/v1/documents/2017-13236?publication_date=2017-06-26
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2017-04-25,"Marathon Pharmaceuticals, Llc",,https://www.federalregister.gov/api/v1/documents/2017-08309?publication_date=2017-04-25
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2017-03-06,Biogen Inc.,Spinraza (Nusinersen),https://www.federalregister.gov/api/v1/documents/2017-04228?publication_date=2017-03-06
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2016-10-17,Sarepta Therapeutics,Exondys 51 (Eteplirsen),https://www.federalregister.gov/api/v1/documents/2016-24947?publication_date=2016-10-17
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2015-11-17,"Alexion Pharmaceuticals, Inc.",Strensiq (Asfotase Alfa),https://www.federalregister.gov/api/v1/documents/2015-29280?publication_date=2015-11-17
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2015-09-29,Wellstat Therapeutics Corp.,Xuriden (Uridine Triacetate),https://www.federalregister.gov/api/v1/documents/2015-24640?publication_date=2015-09-29
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2015-04-07,United Therapeutics Corporation,Unituxin (Dinutuximab),https://www.federalregister.gov/api/v1/documents/2015-08014?publication_date=2015-04-07
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2015-04-07,"Asklepion Pharmaceuticals, Llc",Cholbam (Cholic Acid),https://www.federalregister.gov/api/v1/documents/2015-08016?publication_date=2015-04-07
Issuance of Priority Review Voucher; Rare Pediatric Disease Product,2014-03-12,"Biomarin Pharmaceutical, Inc.",Vimizim (Elosulfase Alfa),https://www.federalregister.gov/api/v1/documents/2014-05410?publication_date=2014-03-12
